Number of nodes 487 
   230 :  2.1801963e+00 -1.7569132e+00 
   231 :  2.2415155e+00 -1.6779775e+00 
   232 :  2.2999782e+00 -1.5969034e+00 
   233 :  2.3555099e+00 -1.5137943e+00 
   234 :  2.4080399e+00 -1.4287561e+00 
   235 :  2.4575012e+00 -1.3418972e+00 
   236 :  2.5038308e+00 -1.2533282e+00 
   237 :  2.5469696e+00 -1.1631620e+00 
   238 :  2.5868627e+00 -1.0715136e+00 
   239 :  2.6234592e+00 -9.7849970e-01 
   240 :  2.6567126e+00 -8.8423885e-01 
   241 :  2.6865803e+00 -7.8885116e-01 
   242 :  2.7130244e+00 -6.9245820e-01 
   243 :  2.7360112e+00 -5.9518281e-01 
   244 :  2.7555114e+00 -4.9714895e-01 
   245 :  2.7715000e+00 -3.9848155e-01 
   246 :  2.7839568e+00 -2.9930634e-01 
   247 :  2.7928659e+00 -1.9974971e-01 
   248 :  2.7982159e+00 -9.9938535e-02 
   249 :  2.8000000e+00 -9.1038288e-16 
   250 :  2.7982159e+00  9.9938535e-02 
   251 :  2.7928659e+00  1.9974971e-01 
   252 :  2.7839568e+00  2.9930634e-01 
   253 :  2.7715000e+00  3.9848155e-01 
   254 :  2.7555114e+00  4.9714895e-01 
   255 :  2.7360112e+00  5.9518281e-01 
   256 :  2.7130244e+00  6.9245820e-01 
   257 :  2.6865803e+00  7.8885116e-01 
   258 :  2.6567126e+00  8.8423885e-01 
   259 :  2.6234592e+00  9.7849970e-01 
   260 :  2.5868627e+00  1.0715136e+00 
   261 :  2.5469696e+00  1.1631620e+00 
   262 :  2.5038308e+00  1.2533282e+00 
   263 :  2.4575012e+00  1.3418972e+00 
   264 :  2.4080399e+00  1.4287561e+00 
   265 :  2.3555099e+00  1.5137943e+00 
   266 :  2.2999782e+00  1.5969034e+00 
   267 :  2.2415155e+00  1.6779775e+00 
   268 :  2.1801963e+00  1.7569132e+00 
   269 :  2.1160988e+00  1.8336101e+00 
   270 :  2.0493047e+00  1.9079702e+00 
   271 :  1.9798990e+00  1.9798990e+00 
   272 :  1.9079702e+00  2.0493047e+00 
   273 :  1.8336101e+00  2.1160988e+00 
   274 :  1.7569132e+00  2.1801963e+00 
   275 :  1.6779775e+00  2.2415155e+00 
   276 :  1.5969034e+00  2.2999782e+00 
   277 :  1.5137943e+00  2.3555099e+00 
   278 :  1.4287561e+00  2.4080399e+00 
   279 :  1.3418972e+00  2.4575012e+00 
   280 :  1.2533282e+00  2.5038308e+00 
   281 :  1.1631620e+00  2.5469696e+00 
   282 :  1.0715136e+00  2.5868627e+00 
   283 :  9.7849970e-01  2.6234592e+00 
   284 :  8.8423885e-01  2.6567126e+00 
   285 :  7.8885116e-01  2.6865803e+00 
   286 :  6.9245820e-01  2.7130244e+00 
   287 :  5.9518281e-01  2.7360112e+00 
   288 :  4.9714895e-01  2.7555114e+00 
   289 :  3.9848155e-01  2.7715000e+00 
   290 :  2.9930634e-01  2.7839568e+00 
   291 :  1.9974971e-01  2.7928659e+00 
   292 :  9.9938535e-02  2.7982159e+00 
   293 : -8.6437203e-15  2.8000000e+00 
   294 : -9.9938535e-02  2.7982159e+00 
   295 : -1.9974971e-01  2.7928659e+00 
   296 : -2.9930634e-01  2.7839568e+00 
   297 : -3.9848155e-01  2.7715000e+00 
   298 : -4.9714895e-01  2.7555114e+00 
   299 : -5.9518281e-01  2.7360112e+00 
   300 : -6.9245820e-01  2.7130244e+00 
   301 : -7.8885116e-01  2.6865803e+00 
   302 : -8.8423885e-01  2.6567126e+00 
   303 : -9.7849970e-01  2.6234592e+00 
   304 : -1.0715136e+00  2.5868627e+00 
   305 : -1.1631620e+00  2.5469696e+00 
   306 : -1.2533282e+00  2.5038308e+00 
   307 : -1.3418972e+00  2.4575012e+00 
   308 : -1.4287561e+00  2.4080399e+00 
   309 : -1.5137943e+00  2.3555099e+00 
   310 : -1.5969034e+00  2.2999782e+00 
   311 : -1.6779775e+00  2.2415155e+00 
   312 : -1.7569132e+00  2.1801963e+00 
   313 : -1.8336101e+00  2.1160988e+00 
   314 : -1.9079702e+00  2.0493047e+00 
   315 : -1.9798990e+00  1.9798990e+00 
   316 : -2.0493047e+00  1.9079702e+00 
   317 : -2.1160988e+00  1.8336101e+00 
   318 : -2.1801963e+00  1.7569132e+00 
   319 : -2.2415155e+00  1.6779775e+00 
   320 : -2.2999782e+00  1.5969034e+00 
   321 : -2.3555099e+00  1.5137943e+00 
   322 : -2.4080399e+00  1.4287561e+00 
   323 : -2.4575012e+00  1.3418972e+00 
   324 : -2.5038308e+00  1.2533282e+00 
   325 : -2.5469696e+00  1.1631620e+00 
   326 : -2.5868627e+00  1.0715136e+00 
   327 : -2.6234592e+00  9.7849970e-01 
   328 : -2.6567126e+00  8.8423885e-01 
   329 : -2.6865803e+00  7.8885116e-01 
   330 : -2.7130244e+00  6.9245820e-01 
   331 : -2.7360112e+00  5.9518281e-01 
   332 : -2.7555114e+00  4.9714895e-01 
   333 : -2.7715000e+00  3.9848155e-01 
   334 : -2.7839568e+00  2.9930634e-01 
   335 : -2.7928659e+00  1.9974971e-01 
   336 : -2.7982159e+00  9.9938535e-02 
   337 : -2.8000000e+00 -2.4304050e-14 
   338 : -2.7982159e+00 -9.9938535e-02 
   339 : -2.7928659e+00 -1.9974971e-01 
   340 : -2.7839568e+00 -2.9930634e-01 
   341 : -2.7715000e+00 -3.9848155e-01 
   342 : -2.7555114e+00 -4.9714895e-01 
   343 : -2.7360112e+00 -5.9518281e-01 
   344 : -2.7130244e+00 -6.9245820e-01 
   345 : -2.6865803e+00 -7.8885116e-01 
   346 : -2.6567126e+00 -8.8423885e-01 
   347 : -2.6234592e+00 -9.7849970e-01 
   348 : -2.5868627e+00 -1.0715136e+00 
   349 : -2.5469696e+00 -1.1631620e+00 
   350 : -2.5038308e+00 -1.2533282e+00 
   351 : -2.4575012e+00 -1.3418972e+00 
   352 : -2.4080399e+00 -1.4287561e+00 
   353 : -2.3555099e+00 -1.5137943e+00 
   354 : -2.2999782e+00 -1.5969034e+00 
   355 : -2.2415155e+00 -1.6779775e+00 
   356 : -2.1801963e+00 -1.7569132e+00 
   357 : -2.1160988e+00 -1.8336101e+00 
   358 : -2.0493047e+00 -1.9079702e+00 
   359 : -1.9798990e+00 -1.9798990e+00 
   360 : -1.9079702e+00 -2.0493047e+00 
   361 : -1.8336101e+00 -2.1160988e+00 
   362 : -1.7569132e+00 -2.1801963e+00 
   363 : -1.6779775e+00 -2.2415155e+00 
   364 : -1.5969034e+00 -2.2999782e+00 
   365 : -1.5137943e+00 -2.3555099e+00 
   366 : -1.4287561e+00 -2.4080399e+00 
   367 : -1.3418972e+00 -2.4575012e+00 
   368 : -1.2533282e+00 -2.5038308e+00 
   369 : -1.1631620e+00 -2.5469696e+00 
   370 : -1.0715136e+00 -2.5868627e+00 
   371 : -9.7849970e-01 -2.6234592e+00 
   372 : -8.8423885e-01 -2.6567126e+00 
   373 : -7.8885116e-01 -2.6865803e+00 
   374 : -6.9245820e-01 -2.7130244e+00 
   375 : -5.9518281e-01 -2.7360112e+00 
   376 : -4.9714895e-01 -2.7555114e+00 
   377 : -3.9848155e-01 -2.7715000e+00 
   378 : -2.9930634e-01 -2.7839568e+00 
   379 : -1.9974971e-01 -2.7928659e+00 
   380 : -9.9938535e-02 -2.7982159e+00 
   381 : -6.4762629e-01 -2.8236364e+00 
   382 :  6.7489382e-01 -2.8057285e+00 
   383 : -2.1497590e+00 -2.4249851e+00 
   384 : -1.9094106e+00 -2.1642885e+00 
   385 : -1.7482315e+00 -2.3144625e+00 
   386 : -1.5872452e+00 -2.4238540e+00 
   387 : -1.4339154e+00 -2.5268675e+00 
